approach,nx,ny,dofs,num_cells,iterations,residual,metadata,time_total,time_total_repeats,time_SNESSolve,time_MatAssemblyEnd,time_PCApply,time_PCSetUp,time_KSPSolve,time_SNESFunctionEval,time_MatMult,time_SNESJacobianEval,time_MatAssemblyBegin,flops_SNESSolve,mflops_SNESSolve,flops_MatAssemblyEnd,mflops_MatAssemblyEnd,flops_PCApply,mflops_PCApply,flops_PCSetUp,mflops_PCSetUp,flops_KSPSolve,mflops_KSPSolve,flops_SNESFunctionEval,mflops_SNESFunctionEval,flops_MatMult,mflops_MatMult,flops_SNESJacobianEval,mflops_SNESJacobianEval,flops_MatAssemblyBegin,mflops_MatAssemblyBegin,flops_total,mem_rss_peak_kb,mem_rss_delta_kb
GMRES,4,4,50,16,10,3.3995862701257254e-07,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.04833299960000659,0.24166499800003294,0.04753439999999909,9.970000000425472e-05,1.3300000002658408e-05,6.000000016825879e-07,0.00031389999999920093,0.02334600000000009,2.88000000034927e-05,0.023621400000001458,9.100000002426611e-06,410260.0,8.630802113837722,0.0,0.0,0.0,0.0,0.0,0.0,133520.0,425.35839439420164,89600.0,3.8379165595819265,65100.0,2260.416666392536,186640.0,7.901309829222166,0.0,0.0,885120.0,355756.0,0.0
GMRES + ILU PC,4,4,50,16,5,1.936254991147783e-05,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.03251761980000083,0.16258809900000415,0.05008619999999997,3.430000000292921e-05,2.9199999996620818e-05,0.0004691000000001111,0.00037169999999964176,0.022682899999999506,1.5499999999946112e-05,0.026346099999999595,9.499999997331088e-06,381850.0,7.623856471443236,0.0,0.0,39060.0,1337.671233031515,11105.0,23.672990833505374,94005.0,252.9055690075077,89600.0,3.950112199057526,32550.0,2100.000000007301,186640.0,7.0841604639777,0.0,0.0,834810.0,355756.0,0.0
Scale-Splitting GMRES,4,4,50,16,4,4.775964512571128e-05,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.09467227939999248,0.4733613969999624,0.36319269700000056,5.9399999998710484e-05,0.00618099999999977,0.30711299699999994,0.00654149999999909,0.021913100000000796,3.71000000018995e-05,0.022683900000000534,1.1200000003874777e-05,426155.0,1.1733578442520263,0.0,0.0,30850.0,4.991101763468881,74240.0,0.24173512917136494,73065.0,11.169456546665163,89600.0,4.088878342178731,33865.0,912.8032344546126,186640.0,8.227862051939729,0.0,0.0,914415.0,355756.0,0.0
Scale-Splitting GMRES + ILU PC,4,4,50,16,4,4.775967764754559e-05,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.09921203939998122,0.4960601969999061,0.3848654979999999,5.9399999997822306e-05,0.001009399999999161,0.33174259799999906,0.001214400000000282,0.025345599999998747,6.320000000936687e-05,0.025336499999998097,1.1699999992842436e-05,627880.0,1.631427091445854,0.0,0.0,232275.0,230.11194769188933,74240.0,0.22378796225620748,274490.0,226.02931488795807,89600.0,3.535130357932123,96465.0,1526.3449364826413,186640.0,7.366447615101297,0.0,0.0,1581590.0,355756.0,0.0
Scaling-Splitting Picard with MUMPS,4,4,50,16,16,1.631626877937706e-05,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.9276502145999984,4.638251072999992,4.545567975000001,1.8400000000973193e-05,0.0,0.0,0.0,0.12940439899999223,0.0,0.0,2.200000006169489e-06,58546655.0,12.879942687470203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1498720.0,11.581677374044215,0.0,0.0,0.0,0.0,0.0,0.0,60045375.0,355756.0,0.0
GMRES,8,8,162,64,40,0.0005761899217524153,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.03723951980000493,0.18619759900002464,0.054977098999998475,4.560000000708442e-05,0.00012390000000017665,6.99999999298484e-07,0.0016611999999991411,0.026274199000001275,0.0005865999999876692,0.026807699999997325,9.40000001214969e-06,3957600.0,71.9863374384325,0.0,0.0,0.0,0.0,0.0,0.0,2845500.0,1712.9183722619016,358400.0,13.640758372880658,991790.0,1690.7432663158,752080.0,28.054626096236344,0.0,0.0,8905370.0,355756.0,0.0
GMRES + ILU PC,8,8,162,64,7,0.0024938653654568983,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.03417921980003484,0.17089609900017422,0.049553099999998906,4.7000000005681386e-05,0.0001181999999992911,0.0005995999999992563,0.0005024000000020123,0.021946399999999144,0.00012060000000424509,0.026226899999999276,9.700000003221021e-06,1677275.0,33.84803372543871,0.0,0.0,193520.0,1637.2250423110038,79385.0,132.39659773198542,485790.0,966.9386942636429,358400.0,16.330696606277748,169330.0,1404.0630181927002,752080.0,28.675901459952218,0.0,0.0,3715780.0,355756.0,0.0
Scale-Splitting GMRES,8,8,162,64,4,0.004663785182155339,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.09889495960001113,0.49447479800005567,0.36977279899999793,0.00011079999999275003,0.006939999999994839,0.3028416990000036,0.007270899999999969,0.028815199999998597,7.689999999449526e-05,0.025657900000002343,1.24999999986386e-05,1744245.0,4.717072225748033,0.0,0.0,167650.0,24.15706051874995,296960.0,0.9805783053673744,316985.0,43.59639109326237,358400.0,12.43788000777428,125985.0,1638.2964890639585,752080.0,29.311829884750168,0.0,0.0,3762305.0,355756.0,0.0
Scale-Splitting GMRES + ILU PC,8,8,162,64,4,0.004663784557302259,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.09660839939997459,0.48304199699987294,0.390303497999998,7.620000000940763e-05,0.0012722000000007228,0.3488563989999989,0.0014433000000000362,0.01861080000000115,0.00020709999997592377,0.020635799000002564,9.699999999668307e-06,2960490.0,7.585097277298845,0.0,0.0,1386245.0,1089.6439239107156,296960.0,0.8512385063058595,1535580.0,1063.9368114736794,358400.0,19.257635351515138,500065.0,2414.606470584909,752080.0,36.44540247750555,0.0,0.0,7789820.0,355756.0,0.0
Scaling-Splitting Picard with MUMPS,8,8,162,64,63,0.0005317042471883846,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",3.5075274677999912,17.537637338999957,17.457453338999994,2.640000000653231e-05,0.0,0.0,0.0,0.39004869700000455,0.0,0.0,2.3000000126671694e-06,1035807040.0,59.33322689661753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22568960.0,57.861903330495515,0.0,0.0,0.0,0.0,0.0,0.0,1058376000.0,355756.0,0.0
